Data set,Source,Field?,Dim,Predator subphylum/ class,Predator order,Predator,Predator scientific name,Predator type,Prey class,Prey order,Prey,Prey scientific name,Prey type,Data type,Replaced?,Hours starved,Temp (C ),Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Water type,Dataset ID,R2 (mean or only),a,CI a low,CI a hi,h,CI h low,CI h hi,Num bootstraps,Notes
1329,Alexander et al 2014 BIOL LETT,,3,Actinopterygii,Perciformes,Largemouth black bass,Micropterus salmoides,Adult,Amphibia,Hyperoliidae,Painted  reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.05,1,,300000,7.84E+03,Original species length,Species,,,,Fresh,1329,0.53,6.27E-01,3.13E-01,2.26E+00,3.85E-02,3.06E-02,5.73E-02,200,
1330,Alexander et al 2014 BIOL LETT,,3,Actinopterygii,Siluriformes,North African catfish,Clarias gariepinus,Adult,Amphibia,Hyperoliidae,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.05,1,,300000,4.32E+03,Original species length,Species,,,,Fresh,1330,0.64,2.89E-01,1.41E-01,9.85E-01,4.87E-02,2.35E-02,7.75E-02,200,
1331,Alexander et al 2014 BIOL LETT,,3,Actinopterygii,Perciformes,Cape kurper,Sandelia capensis,Adult,Amphibia,Hyperoliidae,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.05,1,,300000,1.08E+04,Original species length,Family,,,,Fresh,1331,0.5,5.65E-01,2.07E-01,1.11E+00,8.57E-02,5.13E-02,1.24E-01,200,
1332,Alexander et al 2014 BIOL LETT,,3,Actinopterygii,Perciformes,River goby,Glossogobius callidus,Adult,Amphibia,Hyperoliidae,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.05,1,,300000,3.54E+03,Original species length,Species,,,,Fresh,1332,0.32,4.43E-01,1.55E-01,1.47E+00,1.14E-01,6.08E-02,1.88E-01,200,
1333,Townsend and Risebrow 1982 OEC,,3,Actinopterygii,Cypriniformes,Freshwater bream,Abramis brama,Underyearling,Crustacea,Cladocera,Daphnia,Daphnia magna,,Mean,N,24,25,1,,1800,,,,9.90E-01,Average species mass,,Fresh,1333,0.87,1.18E-01,1.02E-01,1.40E-01,2.73E-04,1.93E-04,3.48E-04,200,Light = 1.25 Lux
1334,Koski and Johnson 2002,,3,Actinopterygii,Salmoniformes,Sockeye salmon,Oncorhynchus nerka,"Fingerling, 2m old",Crustacea,Cladocera,Daphnia,Daphnia spp.,,Raw data,Y,19.7,19,1,,35000,3.00E+03,Original species mass,,4.39E-01,Average genus mass,,Fresh,1334,0.59,5.86E+00,4.71E+00,7.01E+00,4.55E-06,2.91E-06,6.18E-06,1,30 Lux
1335,Moss et al 2007 J FISH BIOL,,3,Actinopterygii,Salmoniformes,Pink salmon,Oncorhynchus gorbuscha,Fry (Juvenile),Crustacea,Harpacticoida,Copepod,Tisbe spp.,,Raw data,Y,48,11.25,1,,8000,6.22E+02,Original species length,Genus,,,,Marine,1335,0.72,1.69E-01,-1.55E-02,3.53E-01,2.47E-04,1.48E-04,3.47E-04,1,160
1336,Moss et al 2007 J FISH BIOL,,3,Actinopterygii,Salmoniformes,Pink salmon,Oncorhynchus gorbuscha,Juvenile,Crustacea,Harpacticoida,Copepod,Tisbe spp.,,Raw data,Y,48,11,5,,50000,1.19E+04,Original species length,Genus,,,,Marine,1336,0.03,7.39E-02,-3.21E-01,4.68E-01,1.60E-03,4.87E-05,3.15E-03,1,90
1337,Moss et al 2007 J FISH BIOL,,3,Actinopterygii,Salmoniformes,Chum salmon,Oncorhynchus keta,Juvenile,Crustacea,Harpacticoida,Copepod,Tisbe spp.,,Raw data,Y,48,11,5,,50000,1.29E+04,Original species length,Genus,,,,Marine,1337,0,3.71E+00,-3.52E+01,4.26E+01,5.90E-04,1.28E-04,1.05E-03,1,90
1338,Moss et al 2007 J FISH BIOL,,3,Actinopterygii,Salmoniformes,Pink salmon,Oncorhynchus gorbuscha,Juvenile,Crustacea,Mysidae,Mysid shrimp,(Americamysis bahia) Mysidopsis bahia,,Raw data,Y,48,11,5,,50000,1.19E+04,Original species length,Genus,1.00E+00,Alternate species length,Zooplankton,Marine,1338,0.72,1.22E+00,-2.42E+00,4.86E+00,5.64E-05,8.58E-06,1.04E-04,1,90
1339,Moss et al 2007 J FISH BIOL,,3,Actinopterygii,Salmoniformes,Chum salmon,Oncorhynchus keta,Juvenile,Crustacea,Mysidae,Mysid shrimp,(Americamysis bahia) Mysidopsis bahia,,Raw data,Y,48,11,5,,50000,1.29E+04,Original species length,Genus,1.00E+00,Alternate species length,Zooplankton,Marine,1339,0.48,2.03E+00,-2.73E-01,4.34E+00,5.98E-05,4.07E-05,7.89E-05,1,90
1340,Soluk 1993 ECOLOGY,,2,Actinopterygii,Scorpaeniformes,Mottled sculpin,Cottus bairdi,Wild caught,Insecta,Baetidae,Mayfly,Baetis tricaudatus,Larva,Mean,N,24,,1,1900,,9.30E+03,Original species length,Family,4.96E+00,Alternate species length,Order,Fresh,1340,0.56,1.49E-01,9.49E-02,2.66E-01,2.54E-03,7.90E-11,7.60E-03,200,
1341,Soluk 1993 ECOLOGY,,2,Actinopterygii,Scorpaeniformes,Mottled sculpin,Cottus bairdi,Wild caught,Insecta,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,Mean,N,24,,1,1900,,9.30E+03,Original species length,Family,6.66E+00,Alternate species length,Order,Fresh,1341,0.32,4.77E-02,2.51E-02,1.17E-01,2.41E-02,4.34E-08,5.16E-02,200,
1342,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Clupeiformes,Alewife,Alosa pseudoharengus,10d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,1.20E+01,Alternate species length,Species,,,,Fresh,1342,0.92,2.55E-03,2.35E-03,2.74E-03,6.58E-04,5.89E-04,7.28E-04,200,
1343,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Perciformes,American yellow perch,Perca flavescens,6d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,1.41E+01,Alternate species length,Species,,,,Fresh,1343,0.75,3.10E-03,2.66E-03,3.74E-03,6.16E-04,5.39E-04,6.98E-04,200,
1344,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Salmoniformes,Bloater,Coregonus hoyi,8d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,1.29E+01,Alternate species length,Species,,,,Fresh,1344,0.59,1.34E-02,1.17E-02,1.53E-02,1.32E-03,1.26E-03,1.38E-03,200,
1348,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Clupeiformes,Alewife,Alosa pseudoharengus,36d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,8.83E+01,Alternate species length,Species,,,,Fresh,1348,0.24,2.21E-01,8.13E-02,5.78E-01,3.81E-05,2.08E-05,4.99E-05,200,
1349,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Perciformes,American yellow perch,Perca flavescens,34d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,1.14E+02,Alternate species length,Species,,,,Fresh,1349,0.36,1.59E-01,9.63E-02,2.53E-01,6.91E-05,5.23E-05,9.15E-05,200,
1350,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Salmoniformes,Bloater,Coregonus hoyi,37d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,1.04E+02,Alternate species length,Species,,,,Fresh,1350,0.16,1.78E+00,1.23E+00,2.83E+00,3.78E-05,3.49E-05,4.08E-05,200,
1351,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Clupeiformes,Alewife,Alosa pseudoharengus,37d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,2.84E+02,Alternate species length,Species,,,,Fresh,1351,0.44,4.42E-01,2.19E-01,7.38E-01,1.38E-05,9.71E-06,1.88E-05,200,
1352,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Perciformes,American yellow perch,Perca flavescens,65d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,3.89E+02,Alternate species length,Species,,,,Fresh,1352,0.47,1.93E-01,1.15E-01,3.09E-01,1.86E-05,1.11E-05,2.34E-05,200,
1353,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Salmoniformes,Bloater,Coregonus hoyi,67d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,3.52E+02,Alternate species length,Species,,,,Fresh,1353,0.85,1.24E+00,1.05E+00,1.49E+00,1.54E-05,1.38E-05,1.71E-05,200,
1354,Miller et al 1992 CAN J FISH AQUAT SCI,,3,Actinopterygii,Clupeiformes,Alewife,Alosa pseudoharengus,45d old larvae,Crustacea,Artemiidae,Brine shrimp,Artemia spp.,,Mean,N,24,15,10,,20000,6.50E+02,Alternate species length,Species,,,,Fresh,1354,0.46,5.63E+00,8.80E-01,7.22E+00,1.02E-05,6.97E-06,1.32E-05,200,
