"","Data.set","Source","Field.","Dim","Predator.subphylum..class","Predator.order","Predator","Predator.scientific.name","Predator.type","Prey.class","Prey.order","Prey","Prey.scientific.name","Prey.type","Data.type","Replaced.","Hours.starved","Temp..C..","Pred.per.arena","X2D.Arena.size..cm2...bottom.SA.","X3D.arena.size..cm3.","Predator.mass..mg.","Predator.mass.source.code","Predator.mass.regression.code","Prey.mass..mg.","Prey.mass.source.code","Prey.mass.regression.code","Water.type","Dataset.ID","R2..mean.or.only.","a","CI.a.low","CI.a.hi","h","CI.h.low","CI.h.hi","Num.bootstraps","Notes","mean.aspect.ratio"
"1",1329,"Alexander et al 2014 BIOL LETT","",3,"Actinopterygii","Perciformes","Largemouth black bass","Micropterus salmoides","Adult","Amphibia","Hyperoliidae","Painted  reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.05,"1",NA,3e+05,7840,"Original species length","Species",NA,"","","Fresh",1329,0.53,0.627,0.313,2.26,0.0385,0.0306,0.0573,200,"",1.215755
"2",1330,"Alexander et al 2014 BIOL LETT","",3,"Actinopterygii","Siluriformes","North African catfish","Clarias gariepinus","Adult","Amphibia","Hyperoliidae","Marbled reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.05,"1",NA,3e+05,4320,"Original species length","Species",NA,"","","Fresh",1330,0.64,0.289,0.141,0.985,0.0487,0.0235,0.0775,200,"",1.197925
"3",1331,"Alexander et al 2014 BIOL LETT","",3,"Actinopterygii","Perciformes","Cape kurper","Sandelia capensis","Adult","Amphibia","Hyperoliidae","Marbled reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.05,"1",NA,3e+05,10800,"Original species length","Family",NA,"","","Fresh",1331,0.5,0.565,0.207,1.11,0.0857,0.0513,0.124,200,"",1.49098
"4",1332,"Alexander et al 2014 BIOL LETT","",3,"Actinopterygii","Perciformes","River goby","Glossogobius callidus","Adult","Amphibia","Hyperoliidae","Marbled reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.05,"1",NA,3e+05,3540,"Original species length","Species",NA,"","","Fresh",1332,0.32,0.443,0.155,1.47,0.114,0.0608,0.188,200,"",0.634118
"5",1333,"Townsend and Risebrow 1982 OEC","",3,"Actinopterygii","Cypriniformes","Freshwater bream","Abramis brama","Underyearling","Crustacea","Cladocera","Daphnia","Daphnia magna","","Mean","N",24,25,"1",NA,1800,NA,"","",0.99,"Average species mass","","Fresh",1333,0.87,0.118,0.102,0.14,0.000273,0.000193,0.000348,200,"Light = 1.25 Lux",1.7346225
"6",1334,"Koski and Johnson 2002","",3,"Actinopterygii","Salmoniformes","Sockeye salmon","Oncorhynchus nerka","Fingerling, 2m old","Crustacea","Cladocera","Daphnia","Daphnia spp.","","Raw data","Y",19.7,19,"1",NA,35000,3000,"Original species mass","",0.439,"Average genus mass","","Fresh",1334,0.59,5.86,4.71,7.01,4.55e-06,2.91e-06,6.18e-06,1,"30 Lux",2.50685333333333
"7",1335,"Moss et al 2007 J FISH BIOL","",3,"Actinopterygii","Salmoniformes","Pink salmon","Oncorhynchus gorbuscha","Fry (Juvenile)","Crustacea","Harpacticoida","Copepod","Tisbe spp.","","Raw data","Y",48,11.25,"1",NA,8000,622,"Original species length","Genus",NA,"","","Marine",1335,0.72,0.169,-0.0155,0.353,0.000247,0.000148,0.000347,1,"160",2.48723
"8",1336,"Moss et al 2007 J FISH BIOL","",3,"Actinopterygii","Salmoniformes","Pink salmon","Oncorhynchus gorbuscha","Juvenile","Crustacea","Harpacticoida","Copepod","Tisbe spp.","","Raw data","Y",48,11,"5",NA,50000,11900,"Original species length","Genus",NA,"","","Marine",1336,0.03,0.0739,-0.321,0.468,0.0016,4.87e-05,0.00315,1,"90",2.48723
"9",1337,"Moss et al 2007 J FISH BIOL","",3,"Actinopterygii","Salmoniformes","Chum salmon","Oncorhynchus keta","Juvenile","Crustacea","Harpacticoida","Copepod","Tisbe spp.","","Raw data","Y",48,11,"5",NA,50000,12900,"Original species length","Genus",NA,"","","Marine",1337,0,3.71,-35.2,42.6,0.00059,0.000128,0.00105,1,"90",2.64862
"10",1338,"Moss et al 2007 J FISH BIOL","",3,"Actinopterygii","Salmoniformes","Pink salmon","Oncorhynchus gorbuscha","Juvenile","Crustacea","Mysidae","Mysid shrimp","(Americamysis bahia) Mysidopsis bahia","","Raw data","Y",48,11,"5",NA,50000,11900,"Original species length","Genus",1,"Alternate species length","Zooplankton","Marine",1338,0.72,1.22,-2.42,4.86,5.64e-05,8.58e-06,0.000104,1,"90",2.48723
