"","source","dim","field","water","famly","species","type","prey_cellularity","vert","major_grouping_prey_1","major_grouping_prey_2","prey","prey_species","prey_type","data_type","replace_prey","starvation_time","temp","interference","preds_per_arena","arena_2d","arena_3d","pred_mass","pred_mass_source_code","pred_mass_reg_code","prey_mass","prey_mass_source_code","prey_mass_reg_code","a_units","mean_r2_of_fits","a","a_low","a_hi","h","h_low","h_hi","n_boots","notes_1","notes_2","alien","aspect_ratio","log_arena","log_pred","log_prey","log_a","log_h","log_se_a","log_se_h","duration","duration_notes","units","locale","country","country_notes","probable_duration","duration_sec","log_duration"
"1","Alexander et al 2014 BIOL LETT",3,NA,"Fresh","Perciformes","Micropterus salmoides","Adult","Metazoan","Vertebrate","Amphibian",NA,"Painted  reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.1,NA,"1",NA,3e+05,7840,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.62,0.625,0.361,1.17,0.0369,0.0287,0.0485,200,NA,NA,"Y",1.215755,12.6115377536383,8.96699411334445,NA,-0.470003629245736,-3.29954372793566,-2.02495335639577,-5.49676830527187,1,NA,"n","Eastern Cape","South Africa",NA,NA,60,4.0943445622221
"2","Alexander et al 2014 BIOL LETT",3,NA,"Fresh","Siluriformes","Clarias gariepinus","Adult","Metazoan","Vertebrate","Amphibian",NA,"Marbled reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.1,NA,"1",NA,3e+05,4320,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.73,0.289,0.158,0.559,0.0473,0.0232,0.0665,200,NA,NA,"Y",1.197925,12.6115377536383,8.37101068123816,NA,-1.2413285908697,-3.05124498348425,-2.72570513634093,-4.41869061904547,1,NA,"n","Eastern Cape","South Africa",NA,NA,60,4.0943445622221
"3","Alexander et al 2014 BIOL LETT",3,NA,"Fresh","Perciformes","Sandelia capensis","Adult","Metazoan","Vertebrate","Amphibian",NA,"Marbled reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.1,NA,"1",NA,3e+05,10800,"Original species length","Family",NA,NA,NA,"m^3 per pred per day",0.51,0.559,0.22,0.977,0.0847,0.049,0.117,200,NA,NA,"N",1.49098,12.6115377536383,9.28730141311231,NA,-0.581605805827038,-2.46863967732413,-1.77490235216163,-4.02575177075649,1,NA,"n","Eastern Cape","South Africa",NA,NA,60,4.0943445622221
"4","Alexander et al 2014 BIOL LETT",3,NA,"Fresh","Perciformes","Glossogobius callidus","Adult","Metazoan","Vertebrate","Amphibian",NA,"Marbled reed frog","Hyperolius marmoratus","tadpole","Mean","N",48,18.1,NA,"1",NA,3e+05,3540,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.4,0.389,0.152,0.971,0.104,0.0564,0.167,200,NA,NA,"N",0.634118,12.6115377536383,8.17188200612782,NA,-0.944175935363691,-2.26336437984076,-2.13284231840695,-3.73806969830471,1,NA,"n","Eastern Cape","South Africa",NA,NA,60,4.0943445622221
"5","Townsend and Risebrow 1982 OEC",3,NA,"Fresh","Cypriniformes","Abramis brama","Underyearling","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia magna",NA,"Mean","N",24,25,NA,"1",NA,1800,3540,"Original species length","Species",0.99,"Average species mass",NA,"m^3 per pred per day",0.92,0.12,0.103,0.15,0.00027,0.000195,0.000357,200,"Light = 1.25 Lux",NA,"Y",1.7346225,7.49554194388426,8.17188200612782,-0.0100503358535015,-2.12026353620009,-8.2170885989659,-4.76768911548587,-10.1911696249879,1,NA,"n","Norwich","England",NA,NA,60,4.0943445622221
"6","Koski and Johnson 2002",3,NA,"Fresh","Salmoniformes","Oncorhynchus nerka","Fingerling, 2m old","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia spp.",NA,"Raw data","Y",19.7,19,NA,"1",NA,35000,3000,"Original species mass",NA,0.439,"Average genus mass",NA,"m^3 per pred per day",0.62,6.33,4.01,12,5.24e-06,7.34e-07,1.05e-05,200,"30 Lux",NA,"Y",2.506853333,10.4631033404715,8.00636756765025,-0.823255865906966,1.84530023615608,-12.1591890596313,0.148420005118273,-13.0032478965142,1,NA,"npm","Colorado","USA",NA,NA,60,4.0943445622221
"7","Moss and Beauchamp 2007 J FISH BIOL",3,NA,"Marine","Salmoniformes","Oncorhynchus gorbuscha","Fry (Juvenile)","Metazoan","Invertebrate","Crustacean","Copepod","Copepod","Tisbe spp.",NA,"Raw data","Y",48,11.3,NA,"1",NA,8000,622,"Original species length","Genus",NA,NA,NA,"m^3 per pred per day",0.72,0.164,0.106,0.322,0.000249,0.000163,0.00032,200,"160",NA,"Y",2.48723,8.98719682066197,6.43294009273918,NA,-1.80788885115794,-8.29805766149957,-3.54045944899566,-10.0543104422707,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"8","Moss and Beauchamp 2007 J FISH BIOL",3,NA,"Marine","Salmoniformes","Oncorhynchus gorbuscha","Juvenile","Metazoan","Invertebrate","Crustacean","Copepod","Copepod","Tisbe spp.",NA,"Raw data","Y",48,11,NA,"5",NA,50000,11900,"Original species length","Genus",NA,NA,NA,"m^3 per pred per day",0.15,0.0479,0.00527,10200,0.00144,2.44e-11,0.00315,200,"90",NA,"Y",2.48723,10.8197782844103,9.38429367909962,NA,-3.03863977456527,-6.54311216539423,-3.84834422876496,-7.23625936289862,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"9","Moss and Beauchamp 2007 J FISH BIOL",3,NA,"Marine","Salmoniformes","Oncorhynchus keta","Juvenile","Metazoan","Invertebrate","Crustacean","Copepod","Copepod","Tisbe spp.",NA,"Raw data","Y",48,11,NA,"5",NA,50000,12900,"Original species length","Genus",NA,NA,NA,"m^3 per pred per day",0.02,1.83,0.0375,67.9,0.000504,0.000238,0.000983,200,"90",NA,"Y",2.64862,10.8197782844103,9.46498259034976,NA,0.60431596685333,-7.59293428989291,-0.109535887068307,-8.92516142974252,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"10","Moss and Beauchamp 2007 J FISH BIOL",3,NA,"Marine","Salmoniformes","Oncorhynchus gorbuscha","Juvenile","Metazoan","Invertebrate","Crustacean","Mysid","Mysid shrimp","(Americamysis bahia) Mysidopsis bahia",NA,"Raw data","Y",48,11,NA,"5",NA,50000,11900,"Original species length","Genus",1,"Alternate species length","Zooplankton","m^3 per pred per day",0.8,1.16,0.397,16.2,5.63e-05,1.29e-05,0.000151,200,"90",NA,"Y",2.48723,10.8197782844103,9.38429367909962,0,0.148420005118273,-9.78481602281863,-0.963644428257626,-10.7381982974179,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
