species,aspect_ratio
Micropterus salmoides,1.215755
Clarias gariepinus,1.197925
Sandelia capensis,1.49098
Glossogobius callidus,0.634118
Abramis brama,1.7346225
Oncorhynchus nerka,2.506853333
Oncorhynchus gorbuscha,2.48723
Oncorhynchus keta,2.64862
Cottus bairdi,NA
Alosa pseudoharengus,1.831456667
Perca flavescens,1.23413
Coregonus hoyi,5.41623
Salmo trutta,1.98252
Thymallus arcticus,1.98211
Pomatomus saltatrix,2.390475
Paralabrax clathratus,1.917075
Rutilus rutilus,1.472685
Perca fluviatilis,1.397205
Cephalopholis cruentata,2.42931
Sander vitreus,1.29389
Chirostoma riojai,NA
Moenkhausia sanctaefilomenae,2.539885
Oncorhynchus mykiss,1.672955
Gadus chalcogrammus,NA
Anoplopoma fimbria,2.19379
Poecilia reticulata,0.824471
Morone saxatilis,1.885946667
Morone americana,1.78178
Alburnus chalcoides,2.01554
Vimba vimba,1.27913
Scardinius erythrophthalmus,1.76594
Lepomis macrochirus,1.390005
Anchoa mitchilli,3.39229
Archosargus rhomboidalis,2.34927
Achirus lineatus,1.21399
Salvelinus namaycush,2.11091
Clupea harengus,2.12862
Acanthochromis polyacanthus,1.84706
Abudefduf sexfasciatus,2.45467
Chromis atripectoralis,2.2614
Chromis viridis,1.11183
Chrysiptera rollandi,1.40764
Dascyllus aruanus,1.6812
Dascyllus reticulatus,1.90497
Neopomacentrus azysron,1.73753
Pomacentrus moluccensis,1.3991
Amblyglyphidodon curacao,1.411115
Pomacentrus amboinensis,1.21052
Neogobius melanostomus,0.89264
Cottus cognatus,0.89001
Platichthys flesus,0.611639
Paralichthys lethostigma,1.09752
Gasterosteus aculeatus,2.03993
Gadus morhua,1.29725
Pseudocrenilabrus philander,1.38177
Tilapia sparrmanii,2.06346
Cyprinus carpio,1.882045
Anablepsoides hartii,NA
Coregonus albula,2.82288
Coregonus fontanae,NA
Gymnocephalus cernua,1.1475375
Sander lucioperca,1.388525
Gambusia affinis,0.895455
Sebastes paucispinus,NA
Gobiusculus flavescens,1.5117
Danio rerio,1.24824
Hippoglossus hippoglossus,2.10855
"Lepomis macrochirus, Pseudocrenilabrus philander",NA
"Lepomis macrochirus,  Tilapia sparrmanii",NA
" Pseudocrenilabrus philander, Tilapia sparrmanii",NA
