source,dim,field,water,famly,species,type,prey_cellularity,vert,major_grouping_prey_1,major_grouping_prey_2,prey,prey_species,prey_type,data_type,replace_prey,starvation_time,temp,interference,preds_per_arena,arena_2d,arena_3d,pred_mass,pred_mass_source_code,pred_mass_reg_code,prey_mass,prey_mass_source_code,prey_mass_reg_code,a_units,mean_r2_of_fits,a,a_low,a_hi,h,h_low,h_hi,n_boots,notes_1,notes_2
Alexander et al 2014 BIOL LETT,3,,Fresh,Perciformes,Micropterus salmoides,Adult,Metazoan,Vertebrate,Amphibian,,Painted  reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000,7.84E+03,Original species length,Species,,,,m^3 per pred per day,0.62,6.25E-01,3.61E-01,1.17E+00,3.69E-02,2.87E-02,4.85E-02,200,,
Alexander et al 2014 BIOL LETT,3,,Fresh,Siluriformes,Clarias gariepinus,Adult,Metazoan,Vertebrate,Amphibian,,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000,4.32E+03,Original species length,Species,,,,m^3 per pred per day,0.73,2.89E-01,1.58E-01,5.59E-01,4.73E-02,2.32E-02,6.65E-02,200,,
Alexander et al 2014 BIOL LETT,3,,Fresh,Perciformes,Sandelia capensis,Adult,Metazoan,Vertebrate,Amphibian,,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000,1.08E+04,Original species length,Family,,,,m^3 per pred per day,0.51,5.59E-01,2.20E-01,9.77E-01,8.47E-02,4.90E-02,1.17E-01,200,,
Alexander et al 2014 BIOL LETT,3,,Fresh,Perciformes,Glossogobius callidus,Adult,Metazoan,Vertebrate,Amphibian,,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000,3.54E+03,Original species length,Species,,,,m^3 per pred per day,0.4,3.89E-01,1.52E-01,9.71E-01,1.04E-01,5.64E-02,1.67E-01,200,,
Townsend and Risebrow 1982 OEC,3,,Fresh,Cypriniformes,Abramis brama,Underyearling,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,24,25,,1,,1800,3.54E+03,Original species length,Species ,9.90E-01,Average species mass,,m^3 per pred per day,0.92,1.20E-01,1.03E-01,1.50E-01,2.70E-04,1.95E-04,3.57E-04,200,Light = 1.25 Lux,
Koski and Johnson 2002,3,,Fresh,Salmoniformes,Oncorhynchus nerka,"Fingerling, 2m old",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia spp.,,Raw data,Y,19.7,19,,1,,35000,3.00E+03,Original species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,0.62,6.33E+00,4.01E+00,1.20E+01,5.24E-06,7.34E-07,1.05E-05,200,30 Lux,
Moss and Beauchamp 2007 J FISH BIOL,3,,Marine,Salmoniformes,Oncorhynchus gorbuscha,Fry (Juvenile),Metazoan,Invertebrate,Crustacean,Copepod,Copepod,Tisbe spp.,,Raw data,Y,48,11.3,,1,,8000,6.22E+02,Original species length,Genus,,,,m^3 per pred per day,0.72,1.64E-01,1.06E-01,3.22E-01,2.49E-04,1.63E-04,3.20E-04,200,160,
Moss and Beauchamp 2007 J FISH BIOL,3,,Marine,Salmoniformes,Oncorhynchus gorbuscha,Juvenile,Metazoan,Invertebrate,Crustacean,Copepod,Copepod,Tisbe spp.,,Raw data,Y,48,11,,5,,50000,1.19E+04,Original species length,Genus,,,,m^3 per pred per day,0.15,4.79E-02,5.27E-03,1.02E+04,1.44E-03,2.44E-11,3.15E-03,200,90,
Moss and Beauchamp 2007 J FISH BIOL,3,,Marine,Salmoniformes,Oncorhynchus keta,Juvenile,Metazoan,Invertebrate,Crustacean,Copepod,Copepod,Tisbe spp.,,Raw data,Y,48,11,,5,,50000,1.29E+04,Original species length,Genus,,,,m^3 per pred per day,0.02,1.83E+00,3.75E-02,6.79E+01,5.04E-04,2.38E-04,9.83E-04,200,90,
Moss and Beauchamp 2007 J FISH BIOL,3,,Marine,Salmoniformes,Oncorhynchus gorbuscha,Juvenile,Metazoan,Invertebrate,Crustacean,Mysid,Mysid shrimp,(Americamysis bahia) Mysidopsis bahia,,Raw data,Y,48,11,,5,,50000,1.19E+04,Original species length,Genus,1.00E+00,Alternate species length,Zooplankton,m^3 per pred per day,0.8,1.16E+00,3.97E-01,1.62E+01,5.63E-05,1.29E-05,1.51E-04,200,90,
Moss and Beauchamp 2007 J FISH BIOL,3,,Marine,Salmoniformes,Oncorhynchus keta,Juvenile,Metazoan,Invertebrate,Crustacean,Mysid,Mysid shrimp,(Americamysis bahia) Mysidopsis bahia,,Raw data,Y,48,11,,5,,50000,1.29E+04,Original species length,Genus,1.00E+00,Alternate species length,Zooplankton,m^3 per pred per day,0.51,1.90E+00,1.16E+00,5.29E+00,5.86E-05,3.90E-05,9.19E-05,200,90,
Soluk 1993 ECOLOGY,2,,Fresh,Scorpaeniformes,Cottus bairdi,Wild caught,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,Mean,N,24,,,1,1900,,9.30E+03,Original species length,Family,4.96E+00,Alternate species length,Order,m^2 per pred per day,0.58,1.43E-01,9.22E-02,2.28E-01,2.37E-03,2.69E-11,5.95E-03,200,,
Soluk 1993 ECOLOGY,2,,Fresh,Scorpaeniformes,Cottus bairdi,Wild caught,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,Mean,N,24,,,1,1900,,9.30E+03,Original species length,Family,6.66E+00,Alternate species length,Order,m^2 per pred per day,0.37,4.53E-02,2.29E-02,9.67E-02,2.16E-02,4.89E-10,4.80E-02,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Clupeiformes,Alosa pseudoharengus,10d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,1.20E+01,Alternate species length,Species,,,,m^3 per pred per day,0.92,2.54E-03,2.35E-03,2.74E-03,6.59E-04,5.93E-04,7.37E-04,200,,
