"","predator_scientific_name","country"
"1","Oncorhynchus nerka","USA"
"2","Oncorhynchus gorbuscha","USA"
"3","Oncorhynchus keta","USA"
"4","Salmo trutta","Sweden"
"5","Thymallus arcticus","USA"
"6","Rutilus rutilus","Sweden"
"7","Perca fluviatilis","Sweden"
"8","Sander vitreus","USA"
"9","Oncorhynchus mykiss","Canada"
"10","Rutilus rutilus","UK"
"11","Vimba vimba","Austria"
"12","Abramis brama","Austria"
"13","Rutilus rutilus","Austria"
"14","Scardinius erythrophthalmus","Austria"
"15","Lepomis macrochirus","USA"
"16","Salvelinus namaycush","USA"
"17","Neogobius melanostomus","Canada"
"18","Oncorhynchus nerka","Canada"
"19","Paralichthys lethostigma","USA"
"20","Gasterosteus aculeatus","Northern Ireland"
"21","Lepomis macrochirus","South Africa"
"22","Tilapia sparrmanii","South Africa"
"23","Cyprinus carpio","England"
"24","Micropterus salmoides","South Africa"
"25","Coregonus albula","Germany"
"26","Gymnocephalus cernua","Sweden"
"27","Perca flavescens","USA"
"28","Gambusia affinis","USA"
"29","Scardinius erythrophthalmus","Sweden"
"30","Danio rerio","England"
"31","Abramis brama","England"
