Source,Predator scientific name,Prey scientific name,duration,duration1,duration_notes,units,locale,country,country_notes
Alexander et al 2014 BIOL LETT,Micropterus salmoides,Hyperolius marmoratus,NA,NA,NA,NA,NA,NA,NA
Alexander et al 2014 BIOL LETT,Clarias gariepinus,Hyperolius marmoratus,NA,NA,NA,NA,NA,NA,NA
Alexander et al 2014 BIOL LETT,Sandelia capensis,Hyperolius marmoratus,NA,NA,NA,NA,NA,NA,NA
Alexander et al 2014 BIOL LETT,Glossogobius callidus,Hyperolius marmoratus,NA,NA,NA,NA,NA,NA,NA
Townsend and Risebrow 1982 OEC,Abramis brama,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Koski and Johnson 2002,Oncorhynchus nerka,Daphnia spp.,NA,NA,NA,NA,NA,NA,NA
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus gorbuscha,Tisbe spp.,NA,NA,NA,NA,NA,NA,NA
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus keta,Tisbe spp.,NA,NA,NA,NA,NA,NA,NA
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus gorbuscha,(Americamysis bahia) Mysidopsis bahia,NA,NA,NA,NA,NA,NA,NA
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus keta,(Americamysis bahia) Mysidopsis bahia,NA,NA,NA,NA,NA,NA,NA
Soluk 1993 ECOLOGY,Cottus bairdi,Baetis tricaudatus,NA,NA,NA,NA,NA,NA,NA
Soluk 1993 ECOLOGY,Cottus bairdi,Ephemerella subvaria,NA,NA,NA,NA,NA,NA,NA
Miller et al 1992 CAN J FISH AQUAT SCI,Alosa pseudoharengus,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Miller et al 1992 CAN J FISH AQUAT SCI,Perca flavescens,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Miller et al 1992 CAN J FISH AQUAT SCI,Coregonus hoyi,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Squalus acanthias,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Squalus acanthias,Merluccius bilinearis,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Squalus acanthias,Scomber scombrus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Squalus acanthias,Doryteuthis pealeii,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Pollachius virens,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Pollachius virens,Merluccius bilinearis,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Merluccius bilinearis,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Merluccius bilinearis,Merluccius bilinearis,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Merluccius bilinearis,Scomber scombrus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Gadus morhua,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Gadus morhua,Merluccius bilinearis,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Gadus morhua,Scomber scombrus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Urophycis tenuis,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Urophycis tenuis,Merluccius bilinearis,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Lophius americanus,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Lophius americanus,Scomber scombrus,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Lophius americanus,Doryteuthis pealeii,NA,NA,NA,NA,NA,NA,NA
Moustahfid et al 2010 OEC,Leucoraja ocellata,Clupea harengus,NA,NA,NA,NA,NA,NA,NA
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,Musca domestica,NA,NA,NA,NA,NA,NA,NA
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,Gammarus spp.,NA,NA,NA,NA,NA,NA,NA
O'Brien et al 2001 CAN J FISH AQUAT RES,Thymallus arcticus,Daphnia middendorffiana,NA,NA,NA,NA,NA,NA,NA
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,Menidia menidia,NA,NA,NA,NA,NA,NA,NA
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,Morone saxatilis,NA,NA,NA,NA,NA,NA,NA
Anderson 2001 ECOLOGY,Paralabrax clathratus,Brachyistius frenatus,NA,NA,NA,NA,NA,NA,NA
Persson 1986 J ANIM ECOL,Rutilus rutilus,Chaoborus obscuripe,NA,NA,NA,NA,NA,NA,NA
Persson 1986 J ANIM ECOL,Perca fluviatilis,Chaoborus obscuripe,NA,NA,NA,NA,NA,NA,NA
Harborne 2012 CORAL REEFS,Cephalopholis cruentata,Halichoeres pictus,NA,NA,NA,NA,NA,NA,NA
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,Daphnia spp.,NA,NA,NA,NA,NA,NA,NA
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,Cyprinus carpio,NA,NA,NA,NA,NA,NA,NA
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,Chironomidae,NA,NA,NA,NA,NA,NA,NA
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,Lepomis macrochirus,NA,NA,NA,NA,NA,NA,NA
Morales-Ventura et al 2004 J APPL ICHTHYOL,Chirostoma riojai,Brachionus rotundiformis,NA,NA,NA,NA,NA,NA,NA
Morales-Ventura et al 2004 J APPL ICHTHYOL,Chirostoma riojai,Brachionus rubens,NA,NA,NA,NA,NA,NA,NA
Morales-Ventura et al 2004 J APPL ICHTHYOL,Chirostoma riojai,Ceriodaphnia dubia,NA,NA,NA,NA,NA,NA,NA
Morales-Ventura et al 2004 J APPL ICHTHYOL,Chirostoma riojai,Moina macrocopa,NA,NA,NA,NA,NA,NA,NA
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus calyciflorus,NA,NA,NA,NA,NA,NA,NA
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus havanaensis,NA,NA,NA,NA,NA,NA,NA
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus patulus,NA,NA,NA,NA,NA,NA,NA
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus rubens,NA,NA,NA,NA,NA,NA,NA
Ware 1972 J FISHERIES RES BOARD CANADA,Oncorhynchus mykiss,Crangonyx richmondensis,NA,NA,NA,NA,NA,NA,NA
Ryer et al 2002 CJFAS,Gadus chalcogrammus,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Ryer et al 2002 CJFAS,Anoplopoma fimbria,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Murray et al 2013 ETHOLOGY,Rutilus rutilus,NA,NA,NA,NA,NA,NA,NA,NA
Murdoch et al 1975 ECOLOGY,Poecilia reticulata,Drosophila spp.,NA,NA,NA,NA,NA,NA,NA
Murdoch et al 1975 ECOLOGY,Poecilia reticulata,Tubifex spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Cyclops spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Daphnia hyalina,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Leptodora kindtii,NA,NA,NA,NA,NA,NA,NA
