source,species,prey_species,duration,duration_notes,units,locale,country,country_notes
Alexander et al 2014 BIOL LETT,Micropterus salmoides,Hyperolius marmoratus,960,,n,Eastern Cape,South Africa,
Alexander et al 2014 BIOL LETT,Clarias gariepinus,Hyperolius marmoratus,960,,n,Eastern Cape,South Africa,
Alexander et al 2014 BIOL LETT,Sandelia capensis,Hyperolius marmoratus,960,,n,Eastern Cape,South Africa,
Alexander et al 2014 BIOL LETT,Glossogobius callidus,Hyperolius marmoratus,960,,n,Eastern Cape,South Africa,
Townsend and Risebrow 1982 OEC,Abramis brama,Daphnia magna,30,NA,n,Norwich,England,NA
Koski and Johnson 2002,Oncorhynchus nerka,Daphnia spp.,10,NA,npm,Colorado,USA,NA
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus gorbuscha,Tisbe spp.,10,,npm,Washington,USA,
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus keta,Tisbe spp.,10,,npm,Washington,USA,
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus gorbuscha,(Americamysis bahia) Mysidopsis bahia,10,,npm,Washington,USA,
Moss and Beauchamp 2007 J FISH BIOL,Oncorhynchus keta,(Americamysis bahia) Mysidopsis bahia,10,,npm,Washington,USA,
Soluk 1993 ECOLOGY,Cottus bairdi,Baetis tricaudatus,1440,,n,Ontario,Canada,
Soluk 1993 ECOLOGY,Cottus bairdi,Ephemerella subvaria,1440,,n,Ontario,Canada,
Miller et al 1992 CAN J FISH AQUAT SCI,Alosa pseudoharengus,Artemia spp.,NA,either 15 or 30 minutes,n,Winsconsin,USA,
Miller et al 1992 CAN J FISH AQUAT SCI,Perca flavescens,Artemia spp.,NA,either 15 or 30 minutes,n,Winsconsin,USA,
Miller et al 1992 CAN J FISH AQUAT SCI,Coregonus hoyi,Artemia spp.,NA,either 15 or 30 minutes,n,Winsconsin,USA,
Moustahfid et al 2010 OEC,Squalus acanthias,Clupea harengus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Squalus acanthias,Merluccius bilinearis,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Squalus acanthias,Scomber scombrus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Squalus acanthias,Doryteuthis pealeii,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Pollachius virens,Clupea harengus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Pollachius virens,Merluccius bilinearis,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Merluccius bilinearis,Clupea harengus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Merluccius bilinearis,Merluccius bilinearis,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Merluccius bilinearis,Scomber scombrus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Gadus morhua,Clupea harengus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Gadus morhua,Merluccius bilinearis,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Gadus morhua,Scomber scombrus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Urophycis tenuis,Clupea harengus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Urophycis tenuis,Merluccius bilinearis,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
Moustahfid et al 2010 OEC,Lophius americanus,Clupea harengus,NA,could be 24h-1y,mpy,northeast continental shelf region,USA,
