source,predator_scientific_name,duration,duration_notes,units,locale,country,country_notes
Koski and Johnson 2002,Oncorhynchus nerka,10,,npm,Colorado,USA,
Moss et al 2007 J FISH BIOL,Oncorhynchus gorbuscha,10,,npm,Washington,USA,
Moss et al 2007 J FISH BIOL,Oncorhynchus keta,10,,npm,Alaska,USA,
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,NA,until n = 5,nps,Sweden,Sweden,
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,NA,until n = 5,nps,Sweden,Sweden,
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,NA,until n = 5,nps,Sweden,Sweden,
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,NA,until n = 5,nps,Sweden,Sweden,
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,NA,until n = 5,nps,Sweden,Sweden,
Gustafsson et al 2010 ECOL FRE FISH,Salmo trutta,NA,until n = 5,nps,Sweden,Sweden,
O'Brien et al 2001 J CAN FISH AQUAT RES,Thymallus arcticus,NA,until n = 100,npm,Alaska,USA,
O'Brien et al 2001 J CAN FISH AQUAT RES,Thymallus arcticus,NA,until n = 100,npm,Alaska,USA,
O'Brien et al 2001 J CAN FISH AQUAT RES,Thymallus arcticus,NA,until n = 100,npm,Alaska,USA,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,60,,nphp,New Jersey,USA,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,60,,nphp,New Jersey,USA,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,60,,nphp,New Jersey,USA,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,60,,nphp,New Jersey,USA,
Persson 1986 J ANIM ECOL,Rutilus rutilus,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Perca fluviatilis,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Rutilus rutilus,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Perca fluviatilis,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Rutilus rutilus,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Perca fluviatilis,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Rutilus rutilus,NA,until n = 10,nps,Sweden,Sweden,
Persson 1986 J ANIM ECOL,Perca fluviatilis,NA,until n = 10,nps,Sweden,Sweden,
Harborne 2012 CORAL REEFS,Cephalopholis cruentata,NA,either 22 or 47 hours,n,The Bahamas,The Bahamas,
Harborne 2012 CORAL REEFS,Cephalopholis cruentata,NA,either 22 or 47 hours,n,The Bahamas,The Bahamas,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Sander vitreus,15,,n,Illinois,USA,
